,name,rank,platform,r-date,score
0,Red Dead Redemption 2 ,       1,ps4,"['Oct 26, 2018']",97
1,Grand Theft Auto V ,       2,ps4,"['Nov 18, 2014']",97
2,Persona 5 Royal ,       3,ps4,"['Mar 31, 2020']",95
3,The Last of Us Remastered ,       4,ps4,"['Jul 29, 2014']",95
4,God of War ,       5,ps4,"['Apr 20, 2018']",94
5,The Last of Us Part II ,       6,ps4,"['Jun 19, 2020']",93
6,Persona 5 ,       7,ps4,"['Apr 4, 2017']",93
7,Metal Gear Solid V: The Phantom Pain ,       8,ps4,"['Sep 1, 2015']",93
8,Uncharted 4: A Thief's End ,       9,ps4,"['May 10, 2016']",93
9,Journey ,       10,ps4,"['Jul 21, 2015']",92
10,Bloodborne ,       11,ps4,"['Mar 24, 2015']",92
11,Undertale ,       12,ps4,"['Aug 15, 2017']",92
12,The Witcher 3: Wild Hunt ,       13,ps4,"['May 19, 2015']",92
13,Divinity: Original Sin II - Definitive Edition ,       14,ps4,"['Aug 31, 2018']",92
14,Final Fantasy XIV: Shadowbringers ,       15,ps4,"['Jul 2, 2019']",91
15,Shadow of the Colossus ,       16,ps4,"['Feb 6, 2018']",91
16,The Witcher 3: Wild Hunt - Blood and Wine ,       17,ps4,"['May 30, 2016']",91
17,Celeste ,       18,ps4,"['Jan 25, 2018']",91
18,INSIDE ,       19,ps4,"['Aug 23, 2016']",91
19,NieR: Automata - Game of the YoRHa Edition ,       20,ps4,"['Feb 26, 2019']",91
20,Resident Evil 2 ,       21,ps4,"['Jan 25, 2019']",91
21,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition ,       22,ps4,"['Dec 4, 2020']",91
22,flower ,       23,ps4,"['Nov 15, 2013']",91
23,Diablo III: Ultimate Evil Edition ,       24,ps4,"['Aug 19, 2014']",90
24,Overwatch ,       25,ps4,"['May 23, 2016']",90
25,Shovel Knight ,       26,ps4,"['Apr 21, 2015']",90
26,Rayman Legends ,       27,ps4,"['Feb 18, 2014']",90
27,Fez ,       28,ps4,"['Mar 25, 2014']",90
28,Monster Hunter: World ,       29,ps4,"['Jan 26, 2018']",90
29,Tales From The Borderlands: Episode 5 - The Vault of the Traveler ,       30,ps4,"['Oct 20, 2015']",90
30,The Witcher 3: Wild Hunt - Hearts of Stone ,       31,ps4,"['Oct 12, 2015']",90
31,Sekiro: Shadows Die Twice ,       32,ps4,"['Mar 22, 2019']",90
32,Astro Bot Rescue Mission ,       33,ps4,"['Oct 2, 2018']",90
33,Monster Hunter: World - Iceborne ,   34,ps4,"['Sep 6, 2019']",89
34,Rez Infinite ,       35,ps4,"['Oct 13, 2016']",89
35,Titanfall 2 ,       36,ps4,"['Oct 28, 2016']",89
36,Dark Souls III ,       37,ps4,"['Apr 12, 2016']",89
37,Tetris Effect ,       38,ps4,"['Nov 9, 2018']",89
38,Final Fantasy XIV: Stormblood ,       39,ps4,"['Jun 20, 2017']",89
39,It Takes Two ,       40,ps4,"['Mar 26, 2021']",89
40,Bastion ,       41,ps4,"['Apr 7, 2015']",89
41,Apex Legends ,       42,ps4,"['Feb 4, 2019']",89
42,Synth Riders ,       43,ps4,"['Jul 27, 2021']",89
43,Dreams ,       44,ps4,"['Feb 14, 2020']",89
44,Dragon Age: Inquisition ,       45,ps4,"['Nov 18, 2014']",89
45,Tony Hawk's Pro Skater 1 + 2 ,       46,ps4,"['Sep 4, 2020']",89
46,Battlefield 1 ,       47,ps4,"['Oct 18, 2016']",89
47,Horizon Zero Dawn ,       48,ps4,"['Feb 28, 2017']",89
48,Minecraft ,       49,ps4,"['Sep 3, 2014']",89
49,What Remains of Edith Finch ,       50,ps4,"['Apr 25, 2017']",88
